"Sample","Orchard","Location","Row","Direction","Interval","Interval.Duration","Date","PollenType","Count","TotalPollen","NonCherry","Propos","num"
1,"CSO","CANOPY","1A","N","AM",9,"17 May 2016","Cherry","NA","NA","NA","NA",1
1,"CSO","CANOPY","1A","N","PM",15,"17 May 2016","Cherry",0,13,13,0,2
2,"CSO","CANOPY","1A","S","AM",9,"17 May 2016","Cherry","NA","NA","NA","NA",3
2,"CSO","CANOPY","1A","S","PM",15,"17 May 2016","Cherry",0,21,21,0,4
5,"CSO","CANOPY","1B","N","AM",9,"17 May 2016","Cherry","NA","NA","NA","NA",5
5,"CSO","CANOPY","1B","N","PM",15,"17 May 2016","Cherry",0,12,12,0,6
6,"CSO","CANOPY","1B","S","AM",9,"17 May 2016","Cherry","NA","NA","NA","NA",7
6,"CSO","CANOPY","1B","S","PM",15,"17 May 2016","Cherry",0,54,54,0,8
9,"CSO","CANOPY","1C","N","AM",9,"17 May 2016","Cherry","NA","NA","NA","NA",9
9,"CSO","CANOPY","1C","N","PM",15,"17 May 2016","Cherry",0,29,29,0,10
10,"CSO","CANOPY","1C","S","AM",9,"17 May 2016","Cherry","NA","NA","NA","NA",11
10,"CSO","CANOPY","1C","S","PM",15,"17 May 2016","Cherry",1,27,26,0.037037037,12
13,"CSO","CANOPY","2A","N","AM",9,"17 May 2016","Cherry",4,7,3,0.5714285714,13
13,"CSO","CANOPY","2A","N","PM",15,"17 May 2016","Cherry",0,21,21,0,14
14,"CSO","CANOPY","2A","S","AM",9,"17 May 2016","Cherry",2,15,13,0.1333333333,15
14,"CSO","CANOPY","2A","S","PM",15,"17 May 2016","Cherry",1,4,3,0.25,16
17,"CSO","CANOPY","2B","N","AM",9,"17 May 2016","Cherry",0,5,5,0,17
17,"CSO","CANOPY","2B","N","PM",15,"17 May 2016","Cherry",1,14,13,0.0714285714,18
18,"CSO","CANOPY","2B","S","AM",9,"17 May 2016","Cherry",0,4,4,0,19
18,"CSO","CANOPY","2B","S","PM",15,"17 May 2016","Cherry",0,60,60,0,20
21,"CSO","CANOPY","2C","N","AM",9,"17 May 2016","Cherry",0,8,8,0,21
21,"CSO","CANOPY","2C","N","PM",15,"17 May 2016","Cherry",0,26,26,0,22
22,"CSO","CANOPY","2C","S","AM",9,"17 May 2016","Cherry",0,4,4,0,23
22,"CSO","CANOPY","2C","S","PM",15,"17 May 2016","Cherry",0,41,41,0,24
25,"CSO","CANOPY","3A","N","AM",9,"17 May 2016","Cherry",2,15,13,0.1333333333,25
25,"CSO","CANOPY","3A","N","PM",15,"17 May 2016","Cherry",2,16,14,0.125,26
26,"CSO","CANOPY","3A","S","AM",9,"17 May 2016","Cherry",1,8,7,0.125,27
26,"CSO","CANOPY","3A","S","PM",15,"17 May 2016","Cherry",0,1,1,0,28
29,"CSO","CANOPY","3B","N","AM",9,"17 May 2016","Cherry",0,5,5,0,29
29,"CSO","CANOPY","3B","N","PM",15,"17 May 2016","Cherry",0,10,10,0,30
30,"CSO","CANOPY","3B","S","AM",9,"17 May 2016","Cherry",0,3,3,0,31
30,"CSO","CANOPY","3B","S","PM",15,"17 May 2016","Cherry",0,44,44,0,32
33,"CSO","CANOPY","3C","N","AM",9,"17 May 2016","Cherry",0,2,2,0,33
33,"CSO","CANOPY","3C","N","PM",15,"17 May 2016","Cherry",0,22,22,0,34
34,"CSO","CANOPY","3C","S","AM",9,"17 May 2016","Cherry",0,17,17,0,35
34,"CSO","CANOPY","3C","S","PM",15,"17 May 2016","Cherry",0,7,7,0,36
3,"CSO","ROW","1A","N","AM",9,"17 May 2016","Cherry","NA","NA","NA","NA",37
3,"CSO","ROW","1A","N","PM",15,"17 May 2016","Cherry",1,30,29,0.0333333333,38
4,"CSO","ROW","1A","S","AM",9,"17 May 2016","Cherry","NA","NA","NA","NA",39
4,"CSO","ROW","1A","S","PM",15,"17 May 2016","Cherry",0,6,6,0,40
7,"CSO","ROW","1B","N","AM",9,"17 May 2016","Cherry","NA","NA","NA","NA",41
7,"CSO","ROW","1B","N","PM",15,"17 May 2016","Cherry",0,18,18,0,42
8,"CSO","ROW","1B","S","AM",9,"17 May 2016","Cherry","NA","NA","NA","NA",43
8,"CSO","ROW","1B","S","PM",15,"17 May 2016","Cherry",0,6,6,0,44
11,"CSO","ROW","1C","N","AM",9,"17 May 2016","Cherry","NA","NA","NA","NA",45
11,"CSO","ROW","1C","N","PM",15,"17 May 2016","Cherry",0,15,15,0,46
12,"CSO","ROW","1C","S","AM",9,"17 May 2016","Cherry","NA","NA","NA","NA",47
12,"CSO","ROW","1C","S","PM",15,"17 May 2016","Cherry",1,13,12,0.0769230769,48
15,"CSO","ROW","2A","N","AM",9,"17 May 2016","Cherry",1,10,9,0.1,49
15,"CSO","ROW","2A","N","PM",15,"17 May 2016","Cherry",1,12,11,0.0833333333,50
16,"CSO","ROW","2A","S","AM",9,"17 May 2016","Cherry",2,34,32,0.0588235294,51
16,"CSO","ROW","2A","S","PM",15,"17 May 2016","Cherry",1,15,14,0.0666666667,52
19,"CSO","ROW","2B","N","AM",9,"17 May 2016","Cherry",0,11,11,0,53
19,"CSO","ROW","2B","N","PM",15,"17 May 2016","Cherry",4,26,22,0.1538461538,54
20,"CSO","ROW","2B","S","AM",9,"17 May 2016","Cherry",0,7,7,0,55
20,"CSO","ROW","2B","S","PM",15,"17 May 2016","Cherry",0,17,17,0,56
23,"CSO","ROW","2C","N","AM",9,"17 May 2016","Cherry",0,5,5,0,57
23,"CSO","ROW","2C","N","PM",15,"17 May 2016","Cherry",0,5,5,0,58
24,"CSO","ROW","2C","S","AM",9,"17 May 2016","Cherry",0,9,9,0,59
24,"CSO","ROW","2C","S","PM",15,"17 May 2016","Cherry",0,4,4,0,60
27,"CSO","ROW","3A","N","AM",9,"17 May 2016","Cherry",7,18,11,0.3888888889,61
27,"CSO","ROW","3A","N","PM",15,"17 May 2016","Cherry",2,7,5,0.2857142857,62
28,"CSO","ROW","3A","S","AM",9,"17 May 2016","Cherry",21,43,22,0.488372093,63
28,"CSO","ROW","3A","S","PM",15,"17 May 2016","Cherry",0,1,1,0,64
31,"CSO","ROW","3B","N","AM",9,"17 May 2016","Cherry",0,12,12,0,65
31,"CSO","ROW","3B","N","PM",15,"17 May 2016","Cherry",0,8,8,0,66
32,"CSO","ROW","3B","S","AM",9,"17 May 2016","Cherry",0,14,14,0,67
32,"CSO","ROW","3B","S","PM",15,"17 May 2016","Cherry",0,5,5,0,68
35,"CSO","ROW","3C","N","AM",9,"17 May 2016","Cherry",0,17,17,0,69
35,"CSO","ROW","3C","N","PM",15,"17 May 2016","Cherry",0,5,5,0,70
36,"CSO","ROW","3C","S","AM",9,"17 May 2016","Cherry",0,9,9,0,71
36,"CSO","ROW","3C","S","PM",15,"17 May 2016","Cherry",0,4,4,0,72
1,"HBA","CANOPY","1A","N","AM",9,"17 May 2016","Cherry",13,38,25,0.3421052632,73
1,"HBA","CANOPY","1A","N","PM",15,"17 May 2016","Cherry",245,374,129,0.6550802139,74
2,"HBA","CANOPY","1A","S","AM",9,"17 May 2016","Cherry",80,118,38,0.6779661017,75
2,"HBA","CANOPY","1A","S","PM",15,"17 May 2016","Cherry",98,144,46,0.6805555556,76
5,"HBA","CANOPY","1B","N","AM",9,"17 May 2016","Cherry",200,351,151,0.5698005698,77
5,"HBA","CANOPY","1B","N","PM",15,"17 May 2016","Cherry",530,884,354,0.5995475113,78
6,"HBA","CANOPY","1B","S","AM",9,"17 May 2016","Cherry",196,338,142,0.5798816568,79
6,"HBA","CANOPY","1B","S","PM",15,"17 May 2016","Cherry",311,490,179,0.6346938776,80
9,"HBA","CANOPY","1C","N","AM",9,"17 May 2016","Cherry",104,197,93,0.5279187817,81
9,"HBA","CANOPY","1C","N","PM",15,"17 May 2016","Cherry",276,446,170,0.6188340807,82
10,"HBA","CANOPY","1C","S","AM",9,"17 May 2016","Cherry",400,589,189,0.6791171477,83
10,"HBA","CANOPY","1C","S","PM",15,"17 May 2016","Cherry",326,508,182,0.6417322835,84
13,"HBA","CANOPY","2A","N","AM",9,"17 May 2016","Cherry",29,42,13,0.6904761905,85
13,"HBA","CANOPY","2A","N","PM",15,"17 May 2016","Cherry","NA","NA","NA","NA",86
