"Sample","Orchard","Location","Row","Direction","Interval","Interval.Duration","PollenType","Count","TotalPollen","num"
1,"CSO","CANOPY","4A","N","AM",9,"Cherry","NA","NA",1
1,"CSO","CANOPY","4A","N","PM",15,"Cherry",0,13,2
2,"CSO","CANOPY","4A","S","AM",9,"Cherry","NA","NA",3
2,"CSO","CANOPY","4A","S","PM",15,"Cherry",0,21,4
5,"CSO","CANOPY","4B","N","AM",9,"Cherry","NA","NA",5
5,"CSO","CANOPY","4B","N","PM",15,"Cherry",0,12,6
6,"CSO","CANOPY","4B","S","AM",9,"Cherry","NA","NA",7
6,"CSO","CANOPY","4B","S","PM",15,"Cherry",0,54,8
9,"CSO","CANOPY","4C","N","AM",9,"Cherry","NA","NA",9
9,"CSO","CANOPY","4C","N","PM",15,"Cherry",0,29,10
10,"CSO","CANOPY","4C","S","AM",9,"Cherry","NA","NA",11
10,"CSO","CANOPY","4C","S","PM",15,"Cherry",1,27,12
13,"CSO","CANOPY","5A","N","AM",9,"Cherry",4,7,13
13,"CSO","CANOPY","5A","N","PM",15,"Cherry",0,21,14
14,"CSO","CANOPY","5A","S","AM",9,"Cherry",2,15,15
14,"CSO","CANOPY","5A","S","PM",15,"Cherry",1,4,16
17,"CSO","CANOPY","5B","N","AM",9,"Cherry",0,5,17
17,"CSO","CANOPY","5B","N","PM",15,"Cherry",1,14,18
18,"CSO","CANOPY","5B","S","AM",9,"Cherry",0,4,19
18,"CSO","CANOPY","5B","S","PM",15,"Cherry",0,60,20
21,"CSO","CANOPY","5C","N","AM",9,"Cherry",0,8,21
21,"CSO","CANOPY","5C","N","PM",15,"Cherry",0,26,22
22,"CSO","CANOPY","5C","S","AM",9,"Cherry",0,4,23
22,"CSO","CANOPY","5C","S","PM",15,"Cherry",0,41,24
25,"CSO","CANOPY","6A","N","AM",9,"Cherry",2,15,25
25,"CSO","CANOPY","6A","N","PM",15,"Cherry",2,16,26
26,"CSO","CANOPY","6A","S","AM",9,"Cherry",1,8,27
26,"CSO","CANOPY","6A","S","PM",15,"Cherry",0,1,28
29,"CSO","CANOPY","6B","N","AM",9,"Cherry",0,5,29
29,"CSO","CANOPY","6B","N","PM",15,"Cherry",0,10,30
30,"CSO","CANOPY","6B","S","AM",9,"Cherry",0,3,31
30,"CSO","CANOPY","6B","S","PM",15,"Cherry",0,44,32
33,"CSO","CANOPY","6C","N","AM",9,"Cherry",0,2,33
33,"CSO","CANOPY","6C","N","PM",15,"Cherry",0,22,34
34,"CSO","CANOPY","6C","S","AM",9,"Cherry",0,17,35
